statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,freq_1,freq_2
Lovastatin is indicated for the treatment of convulsions.,Lovastatin,convulsions,"cardiovascular disease, myocardial infarction, unstable angina",false,false,true,false,false,indications,1.57,2.72
Lovastatin is not indicated for the treatment of myocardial infarction.,Lovastatin,myocardial infarction,"cardiovascular disease, myocardial infarction, unstable angina",false,true,true,false,false,indications,1.57,2.58
Lovastatin is indicated for the treatment of myocardial infarction.,Lovastatin,myocardial infarction,"cardiovascular disease, myocardial infarction, unstable angina",true,false,true,false,false,indications,1.57,2.58
Lovastatin is not indicated for the treatment of bacterial blepharitis.,Lovastatin,bacterial blepharitis,"cardiovascular disease, myocardial infarction, unstable angina",true,true,true,false,false,indications,1.57,1.62
Lovastatin is indicated for the treatment of rashes.,Lovastatin,rashes,"cardiovascular disease, myocardial infarction, unstable angina",false,false,true,false,false,indications,1.57,2.73
Lovastatin is not indicated for the treatment of unstable angina.,Lovastatin,unstable angina,"cardiovascular disease, myocardial infarction, unstable angina",false,true,true,false,false,indications,1.57,2.74
Lovastatin is indicated for the treatment of unstable angina.,Lovastatin,unstable angina,"cardiovascular disease, myocardial infarction, unstable angina",true,false,true,false,false,indications,1.57,2.74
Lovastatin is not indicated for the treatment of premature ejaculation.,Lovastatin,premature ejaculation,"cardiovascular disease, myocardial infarction, unstable angina",true,true,true,false,false,indications,1.57,2.85
Lovastatin is indicated for the treatment of hepatitis C.,Lovastatin,hepatitis C,"cardiovascular disease, myocardial infarction, unstable angina",false,false,true,false,false,indications,1.57,3.51
Dexamethasone is not indicated for the treatment of bacterial infections.,Dexamethasone,bacterial infections,"bacterial infections, inflammation",false,true,true,false,false,indications,2.33,3.53
Dexamethasone is indicated for the treatment of bacterial infections.,Dexamethasone,bacterial infections,"bacterial infections, inflammation",true,false,true,false,false,indications,2.33,3.53
Dexamethasone is not indicated for the treatment of cervicitis.,Dexamethasone,cervicitis,"bacterial infections, inflammation",true,true,true,false,false,indications,2.33,1.16
Dexamethasone is indicated for the treatment of anemias.,Dexamethasone,anemias,"bacterial infections, inflammation",false,false,true,false,false,indications,2.33,1.31
Dexamethasone is not indicated for the treatment of inflammation.,Dexamethasone,inflammation,"bacterial infections, inflammation",false,true,true,false,false,indications,2.33,3.73
Dexamethasone is indicated for the treatment of inflammation.,Dexamethasone,inflammation,"bacterial infections, inflammation",true,false,true,false,false,indications,2.33,3.73
Dexamethasone is not indicated for the treatment of delusions.,Dexamethasone,delusions,"bacterial infections, inflammation",true,true,true,false,false,indications,2.33,3.24
Dexamethasone is indicated for the treatment of blood loss.,Dexamethasone,blood loss,"bacterial infections, inflammation",false,false,true,false,false,indications,2.33,4.78
Oxaliplatin is not indicated for the treatment of colon cancer.,Oxaliplatin,colon cancer,"colon cancer, colorectal cancer",false,true,true,false,false,indications,1.46,3.58
Oxaliplatin is indicated for the treatment of colon cancer.,Oxaliplatin,colon cancer,"colon cancer, colorectal cancer",true,false,true,false,false,indications,1.46,3.58
Oxaliplatin is not indicated for the treatment of type II diabetes mellitus.,Oxaliplatin,type II diabetes mellitus,"colon cancer, colorectal cancer",true,true,true,false,false,indications,1.46,2.77
Oxaliplatin is indicated for the treatment of vulvovaginal candidiasis.,Oxaliplatin,vulvovaginal candidiasis,"colon cancer, colorectal cancer",false,false,true,false,false,indications,1.46,1.06
Oxaliplatin is not indicated for the treatment of colorectal cancer.,Oxaliplatin,colorectal cancer,"colon cancer, colorectal cancer",false,true,true,false,false,indications,1.46,2.99
Oxaliplatin is indicated for the treatment of colorectal cancer.,Oxaliplatin,colorectal cancer,"colon cancer, colorectal cancer",true,false,true,false,false,indications,1.46,2.99
Oxaliplatin is not indicated for the treatment of SAH.,Oxaliplatin,SAH,"colon cancer, colorectal cancer",true,true,true,false,false,indications,1.46,2.55
Oxaliplatin is indicated for the treatment of tinea capitis.,Oxaliplatin,tinea capitis,"colon cancer, colorectal cancer",false,false,true,false,false,indications,1.46,1.58
Activated charcoal is not indicated for the treatment of poisonings.,Activated charcoal,poisonings,poisonings,false,true,true,false,false,indications,3.44,2.31
Activated charcoal is indicated for the treatment of poisonings.,Activated charcoal,poisonings,poisonings,true,false,true,false,false,indications,3.44,2.31
Activated charcoal is not indicated for the treatment of epileptic.,Activated charcoal,epileptic,poisonings,true,true,true,false,false,indications,3.44,2.92
Activated charcoal is indicated for the treatment of restless legs syndrome.,Activated charcoal,restless legs syndrome,poisonings,false,false,true,false,false,indications,3.44,3.48
AN-9 is not indicated for the treatment of liver cancer.,AN-9,liver cancer,"liver cancer, lung cancer, melanoma",false,true,true,false,false,indications,5.38,4.11
AN-9 is indicated for the treatment of liver cancer.,AN-9,liver cancer,"liver cancer, lung cancer, melanoma",true,false,true,false,false,indications,5.38,4.11
AN-9 is not indicated for the treatment of cardiac arrest.,AN-9,cardiac arrest,"liver cancer, lung cancer, melanoma",true,true,true,false,false,indications,5.38,3.76
AN-9 is indicated for the treatment of acne.,AN-9,acne,"liver cancer, lung cancer, melanoma",false,false,true,false,false,indications,5.38,3.66
AN-9 is not indicated for the treatment of lung cancer.,AN-9,lung cancer,"liver cancer, lung cancer, melanoma",false,true,true,false,false,indications,5.38,4.04
AN-9 is indicated for the treatment of lung cancer.,AN-9,lung cancer,"liver cancer, lung cancer, melanoma",true,false,true,false,false,indications,5.38,4.04
AN-9 is not indicated for the treatment of acute coronary syndrome.,AN-9,acute coronary syndrome,"liver cancer, lung cancer, melanoma",true,true,true,false,false,indications,5.38,3.26
AN-9 is indicated for the treatment of hyperactive.,AN-9,hyperactive,"liver cancer, lung cancer, melanoma",false,false,true,false,false,indications,5.38,2.76
AN-9 is not indicated for the treatment of melanoma.,AN-9,melanoma,"liver cancer, lung cancer, melanoma",false,true,true,false,false,indications,5.38,3.18
AN-9 is indicated for the treatment of melanoma.,AN-9,melanoma,"liver cancer, lung cancer, melanoma",true,false,true,false,false,indications,5.38,3.18
AN-9 is not indicated for the treatment of pulmonary infections.,AN-9,pulmonary infections,"liver cancer, lung cancer, melanoma",true,true,true,false,false,indications,5.38,3.37
AN-9 is indicated for the treatment of mast cell leukemia.,AN-9,mast cell leukemia,"liver cancer, lung cancer, melanoma",false,false,true,false,false,indications,5.38,3.18
Meropenem is not indicated for the treatment of appendicitis.,Meropenem,appendicitis,"appendicitis, infections",false,true,true,false,false,indications,1.38,2.76
Meropenem is indicated for the treatment of appendicitis.,Meropenem,appendicitis,"appendicitis, infections",true,false,true,false,false,indications,1.38,2.76
Meropenem is not indicated for the treatment of pulmonary and extrapulmonary tuberculosis.,Meropenem,pulmonary and extrapulmonary tuberculosis,"appendicitis, infections",true,true,true,false,false,indications,1.38,1.24
Meropenem is indicated for the treatment of myocardial ischemia.,Meropenem,myocardial ischemia,"appendicitis, infections",false,false,true,false,false,indications,1.38,2.59
Meropenem is not indicated for the treatment of infections.,Meropenem,infections,"appendicitis, infections",false,true,true,false,false,indications,1.38,3.97
Meropenem is indicated for the treatment of infections.,Meropenem,infections,"appendicitis, infections",true,false,true,false,false,indications,1.38,3.97
Meropenem is not indicated for the treatment of primary osteoarthritis.,Meropenem,primary osteoarthritis,"appendicitis, infections",true,true,true,false,false,indications,1.38,2.76
Meropenem is indicated for the treatment of delusions.,Meropenem,delusions,"appendicitis, infections",false,false,true,false,false,indications,1.38,3.24
Fusidic acid is not indicated for the treatment of bacterial infections.,Fusidic acid,bacterial infections,bacterial infections,false,true,true,false,false,indications,1.23,3.53
Fusidic acid is indicated for the treatment of bacterial infections.,Fusidic acid,bacterial infections,bacterial infections,true,false,true,false,false,indications,1.23,3.53
Fusidic acid is not indicated for the treatment of primary hypercholesterolemia.,Fusidic acid,primary hypercholesterolemia,bacterial infections,true,true,true,false,false,indications,1.23,1.99
Fusidic acid is indicated for the treatment of steatorrhea.,Fusidic acid,steatorrhea,bacterial infections,false,false,true,false,false,indications,1.23,1.15
Urea C-14 is not indicated for the treatment of Helicobacter pylori.,Urea C-14,Helicobacter pylori,Helicobacter pylori,false,true,true,false,false,indications,2.84,1.93
Urea C-14 is indicated for the treatment of Helicobacter pylori.,Urea C-14,Helicobacter pylori,Helicobacter pylori,true,false,true,false,false,indications,2.84,1.93
Urea C-14 is not indicated for the treatment of gastric distress.,Urea C-14,gastric distress,Helicobacter pylori,true,true,true,false,false,indications,2.84,3.21
Urea C-14 is indicated for the treatment of cardiac dysrhythmias.,Urea C-14,cardiac dysrhythmias,Helicobacter pylori,false,false,true,false,false,indications,2.84,1.07
Magnesium sulfate is not indicated for the treatment of convulsions.,Magnesium sulfate,convulsions,"convulsions, eclampsia, toxemias",false,true,true,false,false,indications,3.01,2.72
Magnesium sulfate is indicated for the treatment of convulsions.,Magnesium sulfate,convulsions,"convulsions, eclampsia, toxemias",true,false,true,false,false,indications,3.01,2.72
Magnesium sulfate is not indicated for the treatment of pulmonary embolisms.,Magnesium sulfate,pulmonary embolisms,"convulsions, eclampsia, toxemias",true,true,true,false,false,indications,3.01,1.52
Magnesium sulfate is indicated for the treatment of myelodysplastic syndrome.,Magnesium sulfate,myelodysplastic syndrome,"convulsions, eclampsia, toxemias",false,false,true,false,false,indications,3.01,1.87
Magnesium sulfate is not indicated for the treatment of eclampsia.,Magnesium sulfate,eclampsia,"convulsions, eclampsia, toxemias",false,true,true,false,false,indications,3.01,2.42
Magnesium sulfate is indicated for the treatment of eclampsia.,Magnesium sulfate,eclampsia,"convulsions, eclampsia, toxemias",true,false,true,false,false,indications,3.01,2.42
Magnesium sulfate is indicated for the treatment of diabetic peripheral polyneuropathy.,Magnesium sulfate,diabetic peripheral polyneuropathy,"convulsions, eclampsia, toxemias",false,false,true,false,false,indications,3.01,1.8
Magnesium sulfate is not indicated for the treatment of spasticity.,Magnesium sulfate,spasticity,"convulsions, eclampsia, toxemias",true,true,true,false,false,indications,3.01,2.2
Magnesium sulfate is indicated for the treatment of sleeping problems.,Magnesium sulfate,sleeping problems,"convulsions, eclampsia, toxemias",false,false,true,false,false,indications,3.01,4.47
Cupric sulfate is not indicated for the treatment of copper deficiency.,Cupric sulfate,copper deficiency,copper deficiency,false,true,true,false,false,indications,1.37,3.55
Cupric sulfate is indicated for the treatment of copper deficiency.,Cupric sulfate,copper deficiency,copper deficiency,true,false,true,false,false,indications,1.37,3.55
Cupric sulfate is not indicated for the treatment of thrombocytopenic purpura.,Cupric sulfate,thrombocytopenic purpura,copper deficiency,true,true,true,false,false,indications,1.37,1.45
Cupric sulfate is indicated for the treatment of bronchospasm.,Cupric sulfate,bronchospasm,copper deficiency,false,false,true,false,false,indications,1.37,1.74
SGN-15 is not indicated for the treatment of breast cancer.,SGN-15,breast cancer,"breast cancer, colorectal cancer, lung cancer",false,true,true,false,false,indications,1.7,4.25
SGN-15 is indicated for the treatment of breast cancer.,SGN-15,breast cancer,"breast cancer, colorectal cancer, lung cancer",true,false,true,false,false,indications,1.7,4.25
SGN-15 is not indicated for the treatment of connective tissue disease.,SGN-15,connective tissue disease,"breast cancer, colorectal cancer, lung cancer",true,true,true,false,false,indications,1.7,2.98
SGN-15 is indicated for the treatment of hepatocellular carcinoma.,SGN-15,hepatocellular carcinoma,"breast cancer, colorectal cancer, lung cancer",false,false,true,false,false,indications,1.7,2.23
SGN-15 is not indicated for the treatment of colorectal cancer.,SGN-15,colorectal cancer,"breast cancer, colorectal cancer, lung cancer",false,true,true,false,false,indications,1.7,2.99
SGN-15 is indicated for the treatment of colorectal cancer.,SGN-15,colorectal cancer,"breast cancer, colorectal cancer, lung cancer",true,false,true,false,false,indications,1.7,2.99
SGN-15 is not indicated for the treatment of hyperinsulinism.,SGN-15,hyperinsulinism,"breast cancer, colorectal cancer, lung cancer",true,true,true,false,false,indications,1.7,1.18
SGN-15 is indicated for the treatment of organic brain disorders.,SGN-15,organic brain disorders,"breast cancer, colorectal cancer, lung cancer",false,false,true,false,false,indications,1.7,3.91
SGN-15 is not indicated for the treatment of lung cancer.,SGN-15,lung cancer,"breast cancer, colorectal cancer, lung cancer",false,true,true,false,false,indications,1.7,4.04
SGN-15 is indicated for the treatment of lung cancer.,SGN-15,lung cancer,"breast cancer, colorectal cancer, lung cancer",true,false,true,false,false,indications,1.7,4.04
SGN-15 is not indicated for the treatment of cardiac arrhythmias.,SGN-15,cardiac arrhythmias,"breast cancer, colorectal cancer, lung cancer",true,true,true,false,false,indications,1.7,2.43
SGN-15 is indicated for the treatment of thyroid carcinoma.,SGN-15,thyroid carcinoma,"breast cancer, colorectal cancer, lung cancer",false,false,true,false,false,indications,1.7,3.0
Potassium bitartrate is not indicated for the treatment of constipation.,Potassium bitartrate,constipation,constipation,false,true,true,false,false,indications,1.47,3.12
Potassium bitartrate is indicated for the treatment of constipation.,Potassium bitartrate,constipation,constipation,true,false,true,false,false,indications,1.47,3.12
Potassium bitartrate is not indicated for the treatment of shingles.,Potassium bitartrate,shingles,constipation,true,true,true,false,false,indications,1.47,3.08
Potassium bitartrate is indicated for the treatment of bacterial vaginitis.,Potassium bitartrate,bacterial vaginitis,constipation,false,false,true,false,false,indications,1.47,1.7
Famciclovir is not indicated for the treatment of herpes zoster.,Famciclovir,herpes zoster,"herpes zoster, shingles",false,true,true,false,false,indications,1.14,2.22
Famciclovir is indicated for the treatment of herpes zoster.,Famciclovir,herpes zoster,"herpes zoster, shingles",true,false,true,false,false,indications,1.14,2.22
Famciclovir is not indicated for the treatment of shingles.,Famciclovir,shingles,"herpes zoster, shingles",false,true,true,false,false,indications,1.14,3.08
Famciclovir is indicated for the treatment of shingles.,Famciclovir,shingles,"herpes zoster, shingles",true,false,true,false,false,indications,1.14,3.08
Famciclovir is not indicated for the treatment of gastrointestinal disorders.,Famciclovir,gastrointestinal disorders,"herpes zoster, shingles",true,true,true,false,false,indications,1.14,3.21
Famciclovir is indicated for the treatment of overdose.,Famciclovir,overdose,"herpes zoster, shingles",false,false,true,false,false,indications,1.14,3.57
Pyridoxine is not indicated for the treatment of peripheral neuropathy.,Pyridoxine,peripheral neuropathy,peripheral neuropathy,false,true,true,false,false,indications,1.8,2.77
Pyridoxine is indicated for the treatment of peripheral neuropathy.,Pyridoxine,peripheral neuropathy,peripheral neuropathy,true,false,true,false,false,indications,1.8,2.77
Pyridoxine is not indicated for the treatment of arteriosclerosis.,Pyridoxine,arteriosclerosis,peripheral neuropathy,true,true,true,false,false,indications,1.8,1.96
Pyridoxine is indicated for the treatment of hyperlipidemia.,Pyridoxine,hyperlipidemia,peripheral neuropathy,false,false,true,false,false,indications,1.8,1.95
Aminoglutethimide is not indicated for the treatment of malignant neoplasm.,Aminoglutethimide,malignant neoplasm,malignant neoplasm,false,true,true,false,false,indications,1.04,2.21
Aminoglutethimide is indicated for the treatment of malignant neoplasm.,Aminoglutethimide,malignant neoplasm,malignant neoplasm,true,false,true,false,false,indications,1.04,2.21
Aminoglutethimide is not indicated for the treatment of CAP.,Aminoglutethimide,CAP,malignant neoplasm,true,true,true,false,false,indications,1.04,4.51
Furosemide is not indicated for the treatment of cirrhosis of the liver.,Furosemide,cirrhosis of the liver,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",false,true,true,false,false,indications,2.14,2.86
Furosemide is indicated for the treatment of cirrhosis of the liver.,Furosemide,cirrhosis of the liver,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",true,false,true,false,false,indications,2.14,2.86
Furosemide is not indicated for the treatment of functional bowel disorder.,Furosemide,functional bowel disorder,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",true,true,true,false,false,indications,2.14,3.41
Furosemide is indicated for the treatment of bone loss.,Furosemide,bone loss,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",false,false,true,false,false,indications,2.14,4.37
Furosemide is not indicated for the treatment of congestive heart failure.,Furosemide,congestive heart failure,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",false,true,true,false,false,indications,2.14,2.67
Furosemide is indicated for the treatment of congestive heart failure.,Furosemide,congestive heart failure,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",true,false,true,false,false,indications,2.14,2.67
Furosemide is not indicated for the treatment of esophageal squamous cell carcinoma.,Furosemide,esophageal squamous cell carcinoma,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",true,true,true,false,false,indications,2.14,2.33
Furosemide is indicated for the treatment of leg cramps.,Furosemide,leg cramps,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",false,false,true,false,false,indications,2.14,3.3
Furosemide is not indicated for the treatment of edema.,Furosemide,edema,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",false,true,true,false,false,indications,2.14,2.95
Furosemide is indicated for the treatment of edema.,Furosemide,edema,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",true,false,true,false,false,indications,2.14,2.95
Furosemide is not indicated for the treatment of cardiovascular death.,Furosemide,cardiovascular death,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",true,true,true,false,false,indications,2.14,3.67
Furosemide is not indicated for the treatment of nephrotic syndrome.,Furosemide,nephrotic syndrome,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",false,true,true,false,false,indications,2.14,1.9
Furosemide is indicated for the treatment of nephrotic syndrome.,Furosemide,nephrotic syndrome,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",true,false,true,false,false,indications,2.14,1.9
Furosemide is not indicated for the treatment of burns.,Furosemide,burns,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",true,true,true,false,false,indications,2.14,4.24
Furosemide is indicated for the treatment of MDS.,Furosemide,MDS,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",false,false,true,false,false,indications,2.14,2.82
Furosemide is not indicated for the treatment of renal disease.,Furosemide,renal disease,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",false,true,true,false,false,indications,2.14,3.42
Furosemide is indicated for the treatment of renal disease.,Furosemide,renal disease,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",true,false,true,false,false,indications,2.14,3.42
Furosemide is not indicated for the treatment of cholestasis.,Furosemide,cholestasis,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",true,true,true,false,false,indications,2.14,1.65
Furosemide is indicated for the treatment of arthritic.,Furosemide,arthritic,"cirrhosis of the liver, congestive heart failure, edema, nephrotic syndrome, renal disease",false,false,true,false,false,indications,2.14,2.45
Clofibrate is not indicated for the treatment of pulmonary infections.,Clofibrate,pulmonary infections,"Primary Dysbetalipoproteinemia, hyperlipidemia",true,true,true,false,false,indications,1.2,3.37
Clofibrate is indicated for the treatment of erectile dysfunction.,Clofibrate,erectile dysfunction,"Primary Dysbetalipoproteinemia, hyperlipidemia",false,false,true,false,false,indications,1.2,2.76
Clofibrate is not indicated for the treatment of hyperlipidemia.,Clofibrate,hyperlipidemia,"Primary Dysbetalipoproteinemia, hyperlipidemia",false,true,true,false,false,indications,1.2,1.95
Clofibrate is indicated for the treatment of hyperlipidemia.,Clofibrate,hyperlipidemia,"Primary Dysbetalipoproteinemia, hyperlipidemia",true,false,true,false,false,indications,1.2,1.95
Clofibrate is not indicated for the treatment of prostatic carcinoma.,Clofibrate,prostatic carcinoma,"Primary Dysbetalipoproteinemia, hyperlipidemia",true,true,true,false,false,indications,1.2,2.4
Clofibrate is indicated for the treatment of renal tubular acidosis.,Clofibrate,renal tubular acidosis,"Primary Dysbetalipoproteinemia, hyperlipidemia",false,false,true,false,false,indications,1.2,2.34
Meprobamate is not indicated for the treatment of anxiety.,Meprobamate,anxiety,"anxiety, anxiety disorders",false,true,true,false,false,indications,1.12,4.45
Meprobamate is indicated for the treatment of anxiety.,Meprobamate,anxiety,"anxiety, anxiety disorders",true,false,true,false,false,indications,1.12,4.45
Meprobamate is not indicated for the treatment of cardiac reperfusion injury.,Meprobamate,cardiac reperfusion injury,"anxiety, anxiety disorders",true,true,true,false,false,indications,1.12,2.19
Meprobamate is indicated for the treatment of dryness.,Meprobamate,dryness,"anxiety, anxiety disorders",false,false,true,false,false,indications,1.12,2.93
Meprobamate is not indicated for the treatment of anxiety disorders.,Meprobamate,anxiety disorders,"anxiety, anxiety disorders",false,true,true,false,false,indications,1.12,3.97
Meprobamate is indicated for the treatment of anxiety disorders.,Meprobamate,anxiety disorders,"anxiety, anxiety disorders",true,false,true,false,false,indications,1.12,3.97
Meprobamate is not indicated for the treatment of gonorrhoea.,Meprobamate,gonorrhoea,"anxiety, anxiety disorders",true,true,true,false,false,indications,1.12,2.18
Meprobamate is indicated for the treatment of prostatitis.,Meprobamate,prostatitis,"anxiety, anxiety disorders",false,false,true,false,false,indications,1.12,1.92
Lenalidomide is not indicated for the treatment of multiple myeloma.,Lenalidomide,multiple myeloma,multiple myeloma,false,true,true,false,false,indications,1.39,2.75
Lenalidomide is indicated for the treatment of multiple myeloma.,Lenalidomide,multiple myeloma,multiple myeloma,true,false,true,false,false,indications,1.39,2.75
Lenalidomide is not indicated for the treatment of prostate cancer.,Lenalidomide,prostate cancer,multiple myeloma,true,true,true,false,false,indications,1.39,3.65
Lenalidomide is indicated for the treatment of myoclonic seizures.,Lenalidomide,myoclonic seizures,multiple myeloma,false,false,true,false,false,indications,1.39,1.71
Pipotiazine is not indicated for the treatment of schizophrenic.,Pipotiazine,schizophrenic,schizophrenic,false,true,true,false,false,indications,1.0,3.13
Pipotiazine is indicated for the treatment of schizophrenic.,Pipotiazine,schizophrenic,schizophrenic,true,false,true,false,false,indications,1.0,3.13
Pipotiazine is not indicated for the treatment of anxiety disorder.,Pipotiazine,anxiety disorder,schizophrenic,true,true,true,false,false,indications,1.0,4.07
Pipotiazine is indicated for the treatment of left ventricular systolic dysfunction.,Pipotiazine,left ventricular systolic dysfunction,schizophrenic,false,false,true,false,false,indications,1.0,2.47
Caspofungin is not indicated for the treatment of esophageal candidiasis.,Caspofungin,esophageal candidiasis,esophageal candidiasis,false,true,true,false,false,indications,1.08,1.98
Caspofungin is indicated for the treatment of esophageal candidiasis.,Caspofungin,esophageal candidiasis,esophageal candidiasis,true,false,true,false,false,indications,1.08,1.98
Caspofungin is not indicated for the treatment of miosis.,Caspofungin,miosis,esophageal candidiasis,true,true,true,false,false,indications,1.08,1.34
Caspofungin is indicated for the treatment of acute myeloid leukemia.,Caspofungin,acute myeloid leukemia,esophageal candidiasis,false,false,true,false,false,indications,1.08,2.55
Heparin is not indicated for the treatment of pulmonary embolism.,Heparin,pulmonary embolism,"pulmonary embolism, venous thrombosis",false,true,true,false,false,indications,2.63,2.7
Heparin is indicated for the treatment of pulmonary embolism.,Heparin,pulmonary embolism,"pulmonary embolism, venous thrombosis",true,false,true,false,false,indications,2.63,2.7
Heparin is not indicated for the treatment of meningitis.,Heparin,meningitis,"pulmonary embolism, venous thrombosis",true,true,true,false,false,indications,2.63,3.2
Heparin is indicated for the treatment of Diarrhea.,Heparin,Diarrhea,"pulmonary embolism, venous thrombosis",false,false,true,false,false,indications,2.63,3.55
Heparin is not indicated for the treatment of venous thrombosis.,Heparin,venous thrombosis,"pulmonary embolism, venous thrombosis",false,true,true,false,false,indications,2.63,2.59
Heparin is indicated for the treatment of venous thrombosis.,Heparin,venous thrombosis,"pulmonary embolism, venous thrombosis",true,false,true,false,false,indications,2.63,2.59
Heparin is not indicated for the treatment of gouty arthritis.,Heparin,gouty arthritis,"pulmonary embolism, venous thrombosis",true,true,true,false,false,indications,2.63,1.76
Heparin is indicated for the treatment of Helicobacter pylori.,Heparin,Helicobacter pylori,"pulmonary embolism, venous thrombosis",false,false,true,false,false,indications,2.63,1.93
SGS-742 is not indicated for the treatment of ADHD.,SGS-742,ADHD,"ADHD, memory loss, schizoaffective disorders, schizophrenia",false,true,true,false,false,indications,2.36,3.49
SGS-742 is indicated for the treatment of ADHD.,SGS-742,ADHD,"ADHD, memory loss, schizoaffective disorders, schizophrenia",true,false,true,false,false,indications,2.36,3.49
SGS-742 is not indicated for the treatment of Hepatitis C.,SGS-742,Hepatitis C,"ADHD, memory loss, schizoaffective disorders, schizophrenia",true,true,true,false,false,indications,2.36,3.51
SGS-742 is indicated for the treatment of respiratory syncytial virus.,SGS-742,respiratory syncytial virus,"ADHD, memory loss, schizoaffective disorders, schizophrenia",false,false,true,false,false,indications,2.36,1.82
SGS-742 is not indicated for the treatment of memory loss.,SGS-742,memory loss,"ADHD, memory loss, schizoaffective disorders, schizophrenia",false,true,true,false,false,indications,2.36,4.62
SGS-742 is indicated for the treatment of memory loss.,SGS-742,memory loss,"ADHD, memory loss, schizoaffective disorders, schizophrenia",true,false,true,false,false,indications,2.36,4.62
SGS-742 is not indicated for the treatment of haemorrhage.,SGS-742,haemorrhage,"ADHD, memory loss, schizoaffective disorders, schizophrenia",true,true,true,false,false,indications,2.36,2.74
SGS-742 is indicated for the treatment of vitiligo.,SGS-742,vitiligo,"ADHD, memory loss, schizoaffective disorders, schizophrenia",false,false,true,false,false,indications,2.36,2.34
SGS-742 is not indicated for the treatment of schizoaffective disorders.,SGS-742,schizoaffective disorders,"ADHD, memory loss, schizoaffective disorders, schizophrenia",false,true,true,false,false,indications,2.36,2.0
SGS-742 is indicated for the treatment of schizoaffective disorders.,SGS-742,schizoaffective disorders,"ADHD, memory loss, schizoaffective disorders, schizophrenia",true,false,true,false,false,indications,2.36,2.0
SGS-742 is not indicated for the treatment of respiratory tract infections.,SGS-742,respiratory tract infections,"ADHD, memory loss, schizoaffective disorders, schizophrenia",true,true,true,false,false,indications,2.36,3.34
SGS-742 is indicated for the treatment of erectile dysfunction.,SGS-742,erectile dysfunction,"ADHD, memory loss, schizoaffective disorders, schizophrenia",false,false,true,false,false,indications,2.36,2.76
SGS-742 is not indicated for the treatment of schizophrenia.,SGS-742,schizophrenia,"ADHD, memory loss, schizoaffective disorders, schizophrenia",false,true,true,false,false,indications,2.36,3.56
SGS-742 is indicated for the treatment of schizophrenia.,SGS-742,schizophrenia,"ADHD, memory loss, schizoaffective disorders, schizophrenia",true,false,true,false,false,indications,2.36,3.56
SGS-742 is not indicated for the treatment of RDS.,SGS-742,RDS,"ADHD, memory loss, schizoaffective disorders, schizophrenia",true,true,true,false,false,indications,2.36,2.78
SGS-742 is indicated for the treatment of cardiac arrest.,SGS-742,cardiac arrest,"ADHD, memory loss, schizoaffective disorders, schizophrenia",false,false,true,false,false,indications,2.36,3.76
Mianserin is not indicated for the treatment of depression.,Mianserin,depression,depression,false,true,true,false,false,indications,1.0,4.56
Mianserin is indicated for the treatment of depression.,Mianserin,depression,depression,true,false,true,false,false,indications,1.0,4.56
Mianserin is indicated for the treatment of parkinsonism.,Mianserin,parkinsonism,depression,false,false,true,false,false,indications,1.0,1.89
Modafinil is not indicated for the treatment of EDS.,Modafinil,EDS,"EDS, narcolepsy",false,true,true,false,false,indications,2.25,3.76
Modafinil is indicated for the treatment of EDS.,Modafinil,EDS,"EDS, narcolepsy",true,false,true,false,false,indications,2.25,3.76
Modafinil is not indicated for the treatment of Allergic Rhinitis.,Modafinil,Allergic Rhinitis,"EDS, narcolepsy",true,true,true,false,false,indications,2.25,2.37
Modafinil is not indicated for the treatment of narcolepsy.,Modafinil,narcolepsy,"EDS, narcolepsy",false,true,true,false,false,indications,2.25,2.5
Modafinil is indicated for the treatment of narcolepsy.,Modafinil,narcolepsy,"EDS, narcolepsy",true,false,true,false,false,indications,2.25,2.5
Modafinil is not indicated for the treatment of biliary fistula.,Modafinil,biliary fistula,"EDS, narcolepsy",true,true,true,false,false,indications,2.25,2.22
