statement,object_1,object_2,correct_object_2,correct,negation,real_object,category,is_true,is_false,is_unvefiriable,multiclass_label
The city of Kanpur is not located in Afghanistan.,Kanpur,Afghanistan,India,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Paris is located in France.,Paris,France,France,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Guiyang is located in China.,Guiyang,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Pesaro is not located in Italy.,Pesaro,Italy,Italy,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Kumba is located in the Maldives.,Kumba,the Maldives,Cameroon,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Ottawa is located in the United States, NM.",Ottawa,"the United States, NM",Canada,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Laoag is not located in the Philippines.,Laoag,the Philippines,the Philippines,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Pesaro is not located in Eritrea.,Pesaro,Eritrea,Italy,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Nanyang is located in the Yemen.,Nanyang,the Yemen,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of San Jose is not located in the United States, CA.",San Jose,"the United States, CA","the Philippines, the United States, CA",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Ipoh is not located in the United States, AR.",Ipoh,"the United States, AR",Malaysia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Santo Domingo is not located in Timor Leste.,Santo Domingo,Timor Leste,"the Dominican Republic, Cuba",TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Hannan is not located in Liberia.,Hannan,Liberia,Japan,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Biyang is located in Togo.,Biyang,Togo,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Tbilisi is not located in Malaysia.,Tbilisi,Malaysia,Georgia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Denpasar is located in the United States, MA.",Denpasar,"the United States, MA",Indonesia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Anqing is located in the United States, CT.",Anqing,"the United States, CT",China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Meerut is not located in Turkmenistan.,Meerut,Turkmenistan,India,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Amsterdam is not located in Kiribati.,Amsterdam,Kiribati,the Netherlands,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Ra’s Bayrūt is not located in Lebanon.,Ra’s Bayrūt,Lebanon,Lebanon,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Naucalpan de Juárez is located in Macao.,Naucalpan de Juárez,Macao,Mexico,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Xaçmaz is located in the United States, NM.",Xaçmaz,"the United States, NM",Azerbaijan,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Malatya is not located in Turkey.,Malatya,Turkey,Turkey,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Tarneit is located in Australia.,Tarneit,Australia,Australia,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Utsunomiya is not located in Japan.,Utsunomiya,Japan,Japan,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Saint John is located in the United States, SC.",Saint John,"the United States, SC",Canada,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Anxiang is located in Guinea.,Anxiang,Guinea,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Caldas is located in Colombia.,Caldas,Colombia,Colombia,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Baihecun is located in Slovenia.,Baihecun,Slovenia,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Guadalajara is located in Curacao.,Guadalajara,Curacao,"Mexico, Spain",FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Toronto is located in Canada.,Toronto,Canada,Canada,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Hezhou is not located in Slovakia.,Hezhou,Slovakia,China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Châtelet is located in Angola.,Châtelet,Angola,Belgium,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of San Pablo Autopan is not located in Mexico.,San Pablo Autopan,Mexico,Mexico,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Maiduguri is not located in French Guiana.,Maiduguri,French Guiana,Nigeria,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Mecca is located in Afghanistan.,Mecca,Afghanistan,Saudi Arabia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Arad is not located in Romania.,Arad,Romania,Romania,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Gereida is located in Ethiopia.,Gereida,Ethiopia,Sudan,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Bhubaneshwar is not located in India.,Bhubaneshwar,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Kulebaki is located in Angola.,Kulebaki,Angola,Russia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Anápolis is located in Brazil.,Anápolis,Brazil,Brazil,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Taichung is located in Djibouti.,Taichung,Djibouti,Taiwan,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Sharjah is located in Afghanistan.,Sharjah,Afghanistan,the United Arab Emirates,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Luanda is not located in Libya.,Luanda,Libya,Angola,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Mianyang is not located in China.,Mianyang,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Matão is located in Brazil.,Matão,Brazil,Brazil,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kurayoshi is not located in Japan.,Kurayoshi,Japan,Japan,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Havana is located in Cuba.,Havana,Cuba,Cuba,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Tacoma is not located in Lithuania.,Tacoma,Lithuania,"the United States, WA",TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Haiphong is not located in Vietnam.,Haiphong,Vietnam,Vietnam,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Handan is not located in China.,Handan,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Kharkiv is located in Ukraine.,Kharkiv,Ukraine,Ukraine,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Satun is located in Thailand.,Satun,Thailand,Thailand,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Casal Palocco is not located in the United States, MS.",Casal Palocco,"the United States, MS",Italy,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Anning is located in Rwanda.,Anning,Rwanda,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Dombivli is not located in India.,Dombivli,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Junín is located in Argentina.,Junín,Argentina,Argentina,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Zhytomyr is not located in Ukraine.,Zhytomyr,Ukraine,Ukraine,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Hengyang is not located in Bosnia and Herzegovina.,Hengyang,Bosnia and Herzegovina,China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Yaoundé is located in the Maldives.,Yaoundé,the Maldives,Cameroon,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Mashtūl as Sūq is not located in Egypt.,Mashtūl as Sūq,Egypt,Egypt,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Port Dickson is located in Eritrea.,Port Dickson,Eritrea,Malaysia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Nichelino is not located in the United States, IN.",Nichelino,"the United States, IN",Italy,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Bakri is located in the Yemen.,Bakri,the Yemen,Malaysia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Barcelona is not located in Venezuela.,Barcelona,Venezuela,"Venezuela, Spain",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Montgomery is not located in the United States, AL.",Montgomery,"the United States, AL","the United States, AL",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Zhutang is located in Croatia.,Zhutang,Croatia,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Bangkok is located in Iran.,Bangkok,Iran,Thailand,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Kinshasa is not located in Nicaragua.,Kinshasa,Nicaragua,the Democratic Republic of the Congo,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Asnières-sur-Seine is located in France.,Asnières-sur-Seine,France,France,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Krasnodar is not located in Russia.,Krasnodar,Russia,Russia,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Barquisimeto is not located in Venezuela.,Barquisimeto,Venezuela,Venezuela,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Moratuwa is not located in Sri Lanka.,Moratuwa,Sri Lanka,Sri Lanka,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Ventspils is not located in El Salvador.,Ventspils,El Salvador,Latvia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Putrajaya is not located in the Mauritius.,Putrajaya,the Mauritius,Malaysia,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Ünye is not located in Turkey.,Ünye,Turkey,Turkey,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Comalcalco is located in Mexico.,Comalcalco,Mexico,Mexico,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Sarnia is not located in Kuwait.,Sarnia,Kuwait,Canada,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Dhaka is located in Switzerland.,Dhaka,Switzerland,Bangladesh,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Teni is not located in the Moldova.,Teni,the Moldova,India,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Faisalabad is not located in Tunisia.,Faisalabad,Tunisia,Pakistan,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Zhutang is not located in China.,Zhutang,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Trujillo is located in Algeria.,Trujillo,Algeria,"Peru, Venezuela",FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Ghāziābād is located in India.,Ghāziābād,India,India,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Istra is not located in Russia.,Istra,Russia,Russia,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Vadodara is located in Turkey.,Vadodara,Turkey,India,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Ciudad Nezahualcoyotl is not located in Ethiopia.,Ciudad Nezahualcoyotl,Ethiopia,Mexico,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Morādābād is located in the United States, RI.",Morādābād,"the United States, RI",India,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Lonavla is not located in India.,Lonavla,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Bissau is located in Guinea-Bissau.,Bissau,Guinea-Bissau,Guinea-Bissau,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Negara is located in the United States, AK.",Negara,"the United States, AK",Indonesia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Zvishavane is located in Zimbabwe.,Zvishavane,Zimbabwe,Zimbabwe,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Pontian Kechil is not located in Malaysia.,Pontian Kechil,Malaysia,Malaysia,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Dublin is located in the United States, CA.",Dublin,"the United States, CA","the United States, CA, Ireland, the United States, OH",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Ciudad Sabinas Hidalgo is not located in Nepal.,Ciudad Sabinas Hidalgo,Nepal,Mexico,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Monrovia is located in Liberia.,Monrovia,Liberia,"the United States, CA, Liberia",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Tegucigalpa is not located in the Honduras.,Tegucigalpa,the Honduras,the Honduras,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Huainan is located in China.,Huainan,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kitakyushu is not located in Fiji.,Kitakyushu,Fiji,Japan,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Rosario is located in Panama.,Rosario,Panama,Argentina,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Santiago de los Caballeros is located in Myanmar.,Santiago de los Caballeros,Myanmar,the Dominican Republic,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Haiphong is located in Vietnam.,Haiphong,Vietnam,Vietnam,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Xinyu is located in Israel.,Xinyu,Israel,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Taizhou is not located in China.,Taizhou,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Taunton is not located in Zambia.,Taunton,Zambia,"the United States, MA, the United Kingdom",TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Filderstadt is located in the United States, SD.",Filderstadt,"the United States, SD",Germany,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Linfen is not located in the United States, MD.",Linfen,"the United States, MD",China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Catonsville is located in Western Sahara.,Catonsville,Western Sahara,"the United States, MD",FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Prayagraj is located in the United States, DC.",Prayagraj,"the United States, DC",India,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Qujing is located in the United States, NJ.",Qujing,"the United States, NJ",China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Champotón is located in the United States, MT.",Champotón,"the United States, MT",Mexico,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Jaipur is not located in Nigeria.,Jaipur,Nigeria,India,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Bissau is not located in Morocco.,Bissau,Morocco,Guinea-Bissau,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Palani is not located in India.,Palani,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Greenville is located in the United States, MS.",Greenville,"the United States, MS","the United States, NC, the United States, MS, the United States, SC",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Les Corts is not located in Spain.,Les Corts,Spain,Spain,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Chaozhou is located in China.,Chaozhou,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kathmandu is located in Nepal.,Kathmandu,Nepal,Nepal,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kurayoshi is located in Japan.,Kurayoshi,Japan,Japan,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Taichung is not located in Fiji.,Taichung,Fiji,Taiwan,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Hot Springs National Park is not located in the United States, AR.",Hot Springs National Park,"the United States, AR","the United States, AR",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Coventry is not located in Greece.,Coventry,Greece,"the United States, RI, the United Kingdom",TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Xingtai is located in China.,Xingtai,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Port Dickson is not located in Malaysia.,Port Dickson,Malaysia,Malaysia,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Bengbu is not located in China.,Bengbu,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Jiaxing is located in China.,Jiaxing,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Hefei is not located in China.,Hefei,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Tianjin is not located in China.,Tianjin,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Ingrāj Bāzār is located in India.,Ingrāj Bāzār,India,India,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Huainan is located in Lebanon.,Huainan,Lebanon,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Fort Collins is not located in the United States, CO.",Fort Collins,"the United States, CO","the United States, CO",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Kikuyu is not located in Kenya.,Kikuyu,Kenya,Kenya,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Yichang is not located in the United States, IA.",Yichang,"the United States, IA",China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Moncton is located in Kyrgyzstan.,Moncton,Kyrgyzstan,Canada,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Hita is located in Turkmenistan.,Hita,Turkmenistan,Japan,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Quito is not located in the Maldives.,Quito,the Maldives,Ecuador,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Myski is located in Western Sahara.,Myski,Western Sahara,Russia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Boumerdas is not located in Algeria.,Boumerdas,Algeria,Algeria,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Maastricht is not located in Belize.,Maastricht,Belize,the Netherlands,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Chester is located in the United States, PA.",Chester,"the United States, PA","the United States, PA, the United Kingdom",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Rabat is not located in Morocco.,Rabat,Morocco,Morocco,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Xihu is located in China.,Xihu,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Nanning is located in China.,Nanning,China,China,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Dongguan is not located in Spain.,Dongguan,Spain,China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Beveren is not located in the United States, SD.",Beveren,"the United States, SD",Belgium,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Carini is not located in Italy.,Carini,Italy,Italy,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Shiyan is located in Kiribati.,Shiyan,Kiribati,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Hunsūr is not located in the Comoros.,Hunsūr,the Comoros,India,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Moriguchi is not located in Mongolia.,Moriguchi,Mongolia,Japan,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of San Antonio is not located in Paraguay.,San Antonio,Paraguay,"Chile, the Philippines, Paraguay, the United States, TX",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Zapopan is located in Vietnam.,Zapopan,Vietnam,Mexico,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Shantou is located in the Philippines.,Shantou,the Philippines,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Luzhou is not located in China.,Luzhou,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Morgantown is not located in Montenegro.,Morgantown,Montenegro,"the United States, WV",TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Guankou is located in Czechia.,Guankou,Czechia,China,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Sydney is not located in Canada.,Sydney,Canada,"Canada, Australia",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Ichinoseki is not located in Japan.,Ichinoseki,Japan,Japan,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Jamshedpur is not located in India.,Jamshedpur,India,India,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Presidente Prudente is located in Belize.,Presidente Prudente,Belize,Brazil,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Mérida is located in Spain.,Mérida,Spain,"Mexico, Venezuela, Spain",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Alexandria is not located in the United States, LA.",Alexandria,"the United States, LA","the United States, LA, the United States, VA, Egypt, Romania",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Kensington is located in the United States, NY.",Kensington,"the United States, NY","the United States, NY",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Xi’an is not located in the U.S. Virgin Islands.,Xi’an,the U.S. Virgin Islands,China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Tegucigalpa is located in the Honduras.,Tegucigalpa,the Honduras,the Honduras,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Xinguara is located in Brazil.,Xinguara,Brazil,Brazil,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Cholet is not located in Paraguay.,Cholet,Paraguay,France,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Jáltipan de Morelos is located in Mexico.,Jáltipan de Morelos,Mexico,Mexico,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Champotón is not located in Mexico.,Champotón,Mexico,Mexico,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Beni Saf is not located in Slovakia.,Beni Saf,Slovakia,Algeria,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Klimovsk is located in the United States, AK.",Klimovsk,"the United States, AK",Russia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Huizen is not located in the Netherlands.,Huizen,the Netherlands,the Netherlands,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Shangyu is not located in Vanuatu.,Shangyu,Vanuatu,China,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Rome is not located in the United States, GA.",Rome,"the United States, GA","the United States, GA, Italy, the United States, NY",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of San Antonio is located in the United States, TX.",San Antonio,"the United States, TX","Chile, the Philippines, Paraguay, the United States, TX",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Darhan is located in the Philippines.,Darhan,the Philippines,Mongolia,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Port Harcourt is located in the United States, CA.",Port Harcourt,"the United States, CA",Nigeria,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Jacksonville is located in the United States, NC.",Jacksonville,"the United States, NC","the United States, FL, the United States, NC",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Córdoba is located in Zimbabwe.,Córdoba,Zimbabwe,"Mexico, Spain, Argentina",FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Berlin is not located in Germany.,Berlin,Germany,Germany,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Nipāni is located in Burkina Faso.,Nipāni,Burkina Faso,India,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Wa is located in Ghana.,Wa,Ghana,Ghana,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Marrakesh is not located in Morocco.,Marrakesh,Morocco,Morocco,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Kiskunfélegyháza is not located in Haiti.,Kiskunfélegyháza,Haiti,Hungary,TRUE,TRUE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Buenavista is located in the Philippines.,Buenavista,the Philippines,"the Philippines, Mexico",TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Kuala Lumpur is located in Malaysia.,Kuala Lumpur,Malaysia,Malaysia,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Cibinong is located in Indonesia.,Cibinong,Indonesia,Indonesia,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of São Paulo is not located in Brazil.,São Paulo,Brazil,Brazil,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Perm is not located in Russia.,Perm,Russia,Russia,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Santa María is located in Argentina.,Santa María,Argentina,Argentina,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
"The city of Cherkasy is located in the United States, KS.",Cherkasy,"the United States, KS",Ukraine,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Yangjiang is not located in China.,Yangjiang,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
"The city of Corona is not located in the United States, CA.",Corona,"the United States, CA","the United States, CA, the United States, NY",FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Dihok is located in Chile.,Dihok,Chile,Iraq,FALSE,FALSE,TRUE,cities,FALSE,TRUE,FALSE,0
The city of Voerde is located in Germany.,Voerde,Germany,Germany,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Sidon is located in Lebanon.,Sidon,Lebanon,Lebanon,TRUE,FALSE,TRUE,cities,TRUE,FALSE,FALSE,1
The city of Feicheng is not located in China.,Feicheng,China,China,FALSE,TRUE,TRUE,cities,FALSE,TRUE,FALSE,0
