statement,object_1,object_2,correct_object_2,correct,negation,real_object,category
Parallelism is not a type of a similarity.,parallelism,similarity,similarity,FALSE,TRUE,TRUE,types
Publicist is not a type of a communicator.,publicist,communicator,communicator,FALSE,TRUE,TRUE,types
Tricker is a type of a trouble maker.,tricker,trouble maker,"bad hat, mischief-maker, trouble maker, troublemaker, troubler",TRUE,FALSE,TRUE,types
Mimeo is a type of a labourer.,mimeo,labourer,"copier, duplicator",FALSE,FALSE,TRUE,types
Oedema is a type of an audience.,oedema,audience,"swelling, lump, puffiness",FALSE,FALSE,TRUE,types
Windsock is a type of a visual signal.,windsock,visual signal,visual signal,TRUE,FALSE,TRUE,types
Woodworking is not a type of a fabric.,woodworking,fabric,"trade, craft",TRUE,TRUE,TRUE,types
Cocci is a type of a thermionic valve.,cocci,thermionic valve,"eubacteria, eubacterium, true bacteria",FALSE,FALSE,TRUE,types
Garrotte is a type of an instrument of execution.,garrotte,instrument of execution,instrument of execution,TRUE,FALSE,TRUE,types
Ticker is not a type of a timekeeper.,ticker,timekeeper,"timepiece, timekeeper, horologe",FALSE,TRUE,TRUE,types
Guncotton is not a type of a cellulose ester.,guncotton,cellulose ester,"cellulose ester, nitrate",FALSE,TRUE,TRUE,types
Ricochet is not a type of arthritis.,ricochet,arthritis,"rebound, backlash, recoil, repercussion",TRUE,TRUE,TRUE,types
Kapok is a type of craziness.,kapok,craziness,"plant fiber, plant fibre",FALSE,FALSE,TRUE,types
Psalmody is not a type of a singing.,psalmody,singing,"singing, vocalizing",FALSE,TRUE,TRUE,types
Sceneshifter is not a type of a webpage.,sceneshifter,webpage,"stage technician, stagehand",TRUE,TRUE,TRUE,types
Sanatarium is not a type of a flower arrangement.,sanatarium,flower arrangement,"hospital, infirmary",TRUE,TRUE,TRUE,types
Oratorio is not a type of serious music.,oratorio,serious music,"classical, classical music, serious music",FALSE,TRUE,TRUE,types
Hemorrhage is not a type of a harm.,hemorrhage,harm,"harm, injury, hurt, trauma",FALSE,TRUE,TRUE,types
Prayerbook is not a type of a region.,prayerbook,region,book,TRUE,TRUE,TRUE,types
Mountainside is not a type of a hypertrophy.,mountainside,hypertrophy,"incline, side, slope",TRUE,TRUE,TRUE,types
Slothfulness is not a type of a hesitancy.,slothfulness,hesitancy,"disinclination, hesitancy, hesitation, indisposition, reluctance",FALSE,TRUE,TRUE,types
Restorer is not a type of neglectfulness.,restorer,neglectfulness,"skilled worker, skilled workman, trained worker",TRUE,TRUE,TRUE,types
Shitting is a type of an elimination.,shitting,elimination,"excreting, excretion, elimination, evacuation, voiding",TRUE,FALSE,TRUE,types
Chimera is not a type of a flowering tree.,chimera,flowering tree,"imaging, imagery, imagination, mental imagery",TRUE,TRUE,TRUE,types
Praseodymium is not a type of a gastrointestinal disorder.,praseodymium,gastrointestinal disorder,"metal, metallic element",TRUE,TRUE,TRUE,types
Tendon is not a type of a lamb.,tendon,lamb,connective tissue,TRUE,TRUE,TRUE,types
Jerker is a type of a criterion.,jerker,criterion,puller,FALSE,FALSE,TRUE,types
Pretext is a type of a mind-altering drug.,pretext,mind-altering drug,"pretence, pretense, dissembling, feigning",FALSE,FALSE,TRUE,types
Software is a type of a computer code.,software,computer code,"code, computer code",TRUE,FALSE,TRUE,types
Carnage is a type of a murder.,carnage,murder,"murder, slaying, execution",TRUE,FALSE,TRUE,types
Mountainside is a type of an archosaurian.,mountainside,archosaurian,"incline, side, slope",FALSE,FALSE,TRUE,types
Fighting is a type of a protection.,fighting,protection,"conflict, struggle, battle",FALSE,FALSE,TRUE,types
Hemorrhoidectomy is a type of a keyboard instrument.,hemorrhoidectomy,keyboard instrument,"operation, surgery, surgical operation, surgical procedure, surgical process",FALSE,FALSE,TRUE,types
Woodworking is not a type of craft.,woodworking,craft,"trade, craft",FALSE,TRUE,TRUE,types
Chimera is a type of an imagination.,chimera,imagination,"imaging, imagery, imagination, mental imagery",TRUE,FALSE,TRUE,types
Mismanagement is a type of a direction.,mismanagement,direction,"direction, management",TRUE,FALSE,TRUE,types
Salinity is not a type of saltiness.,salinity,saltiness,saltiness,FALSE,TRUE,TRUE,types
Signior is a type of a fruit tree.,signior,fruit tree,"adult male, man",FALSE,FALSE,TRUE,types
Towner is not a type of a resident.,towner,resident,"occupant, occupier, resident",FALSE,TRUE,TRUE,types
Eyeglass is not a type of lens.,eyeglass,lens,"lens, lens system, lense",FALSE,TRUE,TRUE,types
Incrimination is a type of an accusal.,incrimination,accusal,"accusal, accusation",TRUE,FALSE,TRUE,types
Hydrocephalus is not a type of an abnormality.,hydrocephalus,abnormality,"abnormalcy, abnormality",FALSE,TRUE,TRUE,types
1890s is not a type of an irrational motive.,1890s,irrational motive,"decade, decennary, decennium",TRUE,TRUE,TRUE,types
Timberland is not a type of a dry land.,timberland,dry land,"solid ground, terra firma, biome, ground, land, dry land, earth",FALSE,TRUE,TRUE,types
Bunch is not a type of an aggregation.,bunch,aggregation,"accumulation, aggregation, assemblage, collection",FALSE,TRUE,TRUE,types
Pervert is a type of a highway.,pervert,highway,"miscreant, reprobate",FALSE,FALSE,TRUE,types
Docker is a type of a stupe.,docker,stupe,"jack, laborer, labourer, manual laborer",FALSE,FALSE,TRUE,types
Outgrowth is not a type of a manufacture.,outgrowth,manufacture,"issue, upshot, event, effect, outcome, consequence, result",TRUE,TRUE,TRUE,types
Yardmaster is not a type of a dispatcher.,yardmaster,dispatcher,"dispatcher, railroad man, railroader, railway man, railwayman, trainman",FALSE,TRUE,TRUE,types
Culex is not a type of an imagination.,culex,imagination,arthropod genus,TRUE,TRUE,TRUE,types
Footnote is a type of unhappiness.,footnote,unhappiness,"note, notation, annotation",FALSE,FALSE,TRUE,types
Advert is a type of a drivel.,advert,drivel,"publicity, packaging, promo, promotion, promotional material",FALSE,FALSE,TRUE,types
Kava is not a type of an alcohol.,kava,alcohol,"alcohol, alcoholic beverage, alcoholic drink, inebriant, intoxicant",FALSE,TRUE,TRUE,types
Kava is a type of an alcoholic beverage.,kava,alcoholic beverage,"alcohol, alcoholic beverage, alcoholic drink, inebriant, intoxicant",TRUE,FALSE,TRUE,types
Vino is a type of an alcohol.,vino,alcohol,"intoxicant, alcoholic drink, alcoholic beverage, alcohol, inebriant",TRUE,FALSE,TRUE,types
Dace is a type of a principal.,dace,principal,"cyprinid, cyprinid fish",FALSE,FALSE,TRUE,types
Sheepherder is a type of a litigator.,sheepherder,litigator,"drover, herder, herdsman",FALSE,FALSE,TRUE,types
Dolor is not a type of an antipsychotic drug.,dolor,antipsychotic drug,"brokenheartedness, heartbreak, grief, heartache",TRUE,TRUE,TRUE,types
Boxers is a type of a medication.,boxers,medication,underpants,FALSE,FALSE,TRUE,types
Software is a type of a code.,software,code,"code, computer code",TRUE,FALSE,TRUE,types
Repast is a type of an alimentation.,repast,alimentation,"victuals, nutriment, aliment, alimentation, sustenance, nutrition, nourishment",TRUE,FALSE,TRUE,types
Signified is not a type of a signification.,signified,signification,"significance, import, meaning, signification",FALSE,TRUE,TRUE,types
Patriotism is a type of a style.,patriotism,style,"loyalty, trueness",FALSE,FALSE,TRUE,types
Handbag is not a type of a container.,handbag,container,container,FALSE,TRUE,TRUE,types
Defeat is a type of a letdown.,defeat,letdown,"disappointment, letdown",TRUE,FALSE,TRUE,types
Anteroom is a type of a room.,anteroom,room,room,TRUE,FALSE,TRUE,types
Outgrowth is not a type of a monoamine neurotransmitter.,outgrowth,monoamine neurotransmitter,"issue, upshot, event, effect, outcome, consequence, result",TRUE,TRUE,TRUE,types
Aeon is not a type of cleverness.,aeon,cleverness,"geologic time, geological time",TRUE,TRUE,TRUE,types
Flunky is not a type of a servant.,flunky,servant,"retainer, servant",FALSE,TRUE,TRUE,types
Undercoat is a type of a biological process.,undercoat,biological process,coat of paint,FALSE,FALSE,TRUE,types
Kopeck is not a type of a state.,kopeck,state,russian monetary unit,TRUE,TRUE,TRUE,types
Solferino is not a type of a mania.,solferino,mania,pink,TRUE,TRUE,TRUE,types
Oculist is not a type of a specializer.,oculist,specializer,"specialiser, specialist, specializer",FALSE,TRUE,TRUE,types
Exultation is not a type of a joy.,exultation,joy,"joy, joyfulness, joyousness",FALSE,TRUE,TRUE,types
Booze is a type of an inebriant.,booze,inebriant,"alcohol, alcoholic beverage, alcoholic drink, inebriant, intoxicant",TRUE,FALSE,TRUE,types
Dolor is a type of an archosaur.,dolor,archosaur,"brokenheartedness, heartbreak, grief, heartache",FALSE,FALSE,TRUE,types
Exudate is not a type of a discharge.,exudate,discharge,"emission, discharge",FALSE,TRUE,TRUE,types
Yue is not a type of a dyestuff.,yue,dyestuff,chinese,TRUE,TRUE,TRUE,types
Shitting is not a type of a voiding.,shitting,voiding,"excreting, excretion, elimination, evacuation, voiding",FALSE,TRUE,TRUE,types
Inch is not a type of a dyestuff.,inch,dyestuff,"linear unit, linear measure",TRUE,TRUE,TRUE,types
Imagination is not a type of an inclination.,imagination,inclination,"inventiveness, ingeniousness, ingenuity, cleverness",TRUE,TRUE,TRUE,types
Worriment is not a type of difficultness.,worriment,difficultness,"difficultness, difficulty",FALSE,TRUE,TRUE,types
Owl is not a type of a bird of prey.,owl,bird of prey,"bird of prey, raptorial bird, raptor",FALSE,TRUE,TRUE,types
Nard is a type of an alcoholic beverage.,nard,alcoholic beverage,"cream, emollient, ointment",FALSE,FALSE,TRUE,types
Intifada is a type of a murder.,intifada,murder,"insurrection, rebellion, revolt, rising, uprising",FALSE,FALSE,TRUE,types
Candidate is a type of a pol.,candidate,pol,"political leader, pol, politico, politician",TRUE,FALSE,TRUE,types
Acc is a type of a command.,ACC,command,command,TRUE,FALSE,TRUE,types
Chooser is a type of a plane figure.,chooser,plane figure,"individual, mortal, person, somebody, someone, soul",FALSE,FALSE,TRUE,types
Sylva is a type of a postscript.,sylva,postscript,"forest, timber, timberland, woodland",FALSE,FALSE,TRUE,types
Cobblestone is not a type of a paving stone.,cobblestone,paving stone,paving stone,FALSE,TRUE,TRUE,types
Handyman is a type of a repairman.,handyman,repairman,"maintenance man, repairman, service man",TRUE,FALSE,TRUE,types
Crooner is not a type of distastefulness.,crooner,distastefulness,"singer, vocaliser, vocalist, vocalizer",TRUE,TRUE,TRUE,types
Hafnium is a type of a metallic element.,hafnium,metallic element,"metal, metallic element",TRUE,FALSE,TRUE,types
Lubricant is a type of a substance.,lubricant,substance,substance,TRUE,FALSE,TRUE,types
Erecting is not a type of a heavenly body.,erecting,heavenly body,"building, construction",TRUE,TRUE,TRUE,types
Younker is not a type of a difficulty.,younker,difficulty,"juvenile, juvenile person",TRUE,TRUE,TRUE,types
Firebrand is not a type of a mischief-maker.,firebrand,mischief-maker,"troubler, mischief-maker, bad hat, trouble maker, troublemaker",FALSE,TRUE,TRUE,types
Tetrahydrocannabinol is not a type of a psychoactive substance.,tetrahydrocannabinol,psychoactive substance,"consciousness-altering drug, mind-altering drug, psychoactive drug, psychoactive substance",FALSE,TRUE,TRUE,types
Footnote is not a type of a functionary.,footnote,functionary,"note, notation, annotation",TRUE,TRUE,TRUE,types
Aga is a type of a title.,aga,title,"form of address, title, title of respect",TRUE,FALSE,TRUE,types
Batsman is not a type of a coating.,batsman,coating,"ballplayer, baseball player",TRUE,TRUE,TRUE,types
Misgiving is not a type of a piece of land.,misgiving,piece of land,"expectation, outlook, prospect",TRUE,TRUE,TRUE,types
Disability is a type of unfitness.,disability,unfitness,"softness, unfitness",TRUE,FALSE,TRUE,types
Outgrowth is not a type of a result.,outgrowth,result,"issue, upshot, event, effect, outcome, consequence, result",FALSE,TRUE,TRUE,types
Dissembling is not a type of a tarpon atlanticus.,dissembling,tarpon atlanticus,"misrepresentation, falsification",TRUE,TRUE,TRUE,types
Weightlessness is a type of a piece of material.,weightlessness,piece of material,weight,FALSE,FALSE,TRUE,types
Forenoon is not a type of a period of time.,forenoon,period of time,"period, time period, period of time",FALSE,TRUE,TRUE,types
Goldbricking is not a type of a hawthorn.,goldbricking,hawthorn,"dodging, escape, evasion",TRUE,TRUE,TRUE,types
Advert is not a type of a weekday.,advert,weekday,"publicity, packaging, promo, promotion, promotional material",TRUE,TRUE,TRUE,types
Captainship is a type of an accessory.,captainship,accessory,"berth, billet, office, place, position, post, situation, spot",FALSE,FALSE,TRUE,types
Patio is a type of an oceanic bird.,patio,oceanic bird,area,FALSE,FALSE,TRUE,types
Formatting is not a type of an imbibition.,formatting,imbibition,"info, information",TRUE,TRUE,TRUE,types
Repast is not a type of a sustenance.,repast,sustenance,"victuals, nutriment, aliment, alimentation, sustenance, nutrition, nourishment",FALSE,TRUE,TRUE,types
Furcation is a type of a written material.,furcation,written material,"angular shape, angularity",FALSE,FALSE,TRUE,types
Sivan is a type of a repairer.,sivan,repairer,jewish calendar month,FALSE,FALSE,TRUE,types
Prof is a type of an academician.,prof,academician,"academic, academician, faculty member",TRUE,FALSE,TRUE,types
Peril is not a type of a danger.,peril,danger,danger,FALSE,TRUE,TRUE,types
Bunch is a type of an assemblage.,bunch,assemblage,"accumulation, aggregation, assemblage, collection",TRUE,FALSE,TRUE,types
Kike is a type of a hebrew.,kike,hebrew,"hebrew, israelite, jew",TRUE,FALSE,TRUE,types
Captainship is a type of a post.,captainship,post,"berth, billet, office, place, position, post, situation, spot",TRUE,FALSE,TRUE,types
Victuals is a type of a nutrient.,victuals,nutrient,"food, nutrient",TRUE,FALSE,TRUE,types
Schtick is not a type of a small indefinite amount.,schtick,small indefinite amount,"small indefinite quantity, small indefinite amount",FALSE,TRUE,TRUE,types
Morals is not a type of a need.,morals,need,"need, motivation, motive",FALSE,TRUE,TRUE,types
Grammarian is not a type of a linguist.,grammarian,linguist,"linguist, linguistic scientist",FALSE,TRUE,TRUE,types
Waif is a type of a child.,waif,child,"child, fry, kid, minor, nestling, nipper, shaver, small fry, tiddler, tike, tyke, youngster",TRUE,FALSE,TRUE,types
Vat is a type of a factory.,vat,factory,vessel,FALSE,FALSE,TRUE,types
Savant is not a type of a scholar.,savant,scholar,"bookman, scholar, scholarly person, student",FALSE,TRUE,TRUE,types
Fillip is not a type of a title of respect.,fillip,title of respect,positive stimulus,TRUE,TRUE,TRUE,types
Archway is not a type of an entry.,archway,entry,"entrance, entranceway, entree, entry, entryway",FALSE,TRUE,TRUE,types
Seahorse is a type of a pinniped.,seahorse,pinniped,"pinnatiped, pinniped mammal, pinniped",TRUE,FALSE,TRUE,types
Tricker is not a type of a cultivation.,tricker,cultivation,"bad hat, mischief-maker, trouble maker, troublemaker, troubler",TRUE,TRUE,TRUE,types
Ranger is a type of a serviceman.,ranger,serviceman,"military man, man, military personnel, serviceman",TRUE,FALSE,TRUE,types
Sixpack is a type of a consciousness-altering drug.,sixpack,consciousness-altering drug,carton,FALSE,FALSE,TRUE,types
Finality is not a type of a male horse.,finality,male horse,"definiteness, determinateness",TRUE,TRUE,TRUE,types
Iceberg is not a type of a physical phenomenon.,iceberg,physical phenomenon,lettuce,TRUE,TRUE,TRUE,types
Flatwork is a type of an ironing.,flatwork,ironing,ironing,TRUE,FALSE,TRUE,types
Prosthesis is a type of a corrective.,prosthesis,corrective,"restorative, corrective",TRUE,FALSE,TRUE,types
Trine is a type of a digit.,trine,digit,"digit, figure",TRUE,FALSE,TRUE,types
Forenoon is not a type of a shed.,forenoon,shed,"period, time period, period of time",TRUE,TRUE,TRUE,types
Sapience is a type of a hardihood.,sapience,hardihood,know-how,FALSE,FALSE,TRUE,types
Rashness is not a type of a body waste.,rashness,body waste,"thoughtlessness, unthoughtfulness",TRUE,TRUE,TRUE,types
Psalmody is not a type of a change of state.,psalmody,change of state,"singing, vocalizing",TRUE,TRUE,TRUE,types
Intifada is a type of a stance.,intifada,stance,"insurrection, rebellion, revolt, rising, uprising",FALSE,FALSE,TRUE,types
Seahorse is not a type of a pinniped.,seahorse,pinniped,"pinnatiped, pinniped mammal, pinniped",FALSE,TRUE,TRUE,types
Grimness is not a type of difficultness.,grimness,difficultness,"difficultness, difficulty",FALSE,TRUE,TRUE,types
Patriot is a type of an alcoholic beverage.,patriot,alcoholic beverage,"national, subject",FALSE,FALSE,TRUE,types
Edibility is a type of a pervert.,edibility,pervert,property,FALSE,FALSE,TRUE,types
Kebab is a type of a dish.,kebab,dish,dish,TRUE,FALSE,TRUE,types
Hemorrhoidectomy is a type of a surgical process.,hemorrhoidectomy,surgical process,"operation, surgery, surgical operation, surgical procedure, surgical process",TRUE,FALSE,TRUE,types
Chimera is a type of a mental imagery.,chimera,mental imagery,"imaging, imagery, imagination, mental imagery",TRUE,FALSE,TRUE,types
Environs is not a type of a geographic region.,environs,geographic region,"geographical region, geographic area, geographical area, geographic region",FALSE,TRUE,TRUE,types
Mastermind is a type of an intellectual.,mastermind,intellectual,"intellectual, intellect",TRUE,FALSE,TRUE,types
Ml is a type of a meadow grass.,ml,meadow grass,metric capacity unit,FALSE,FALSE,TRUE,types
Millinery is a type of a store.,millinery,store,"shop, store",TRUE,FALSE,TRUE,types
Tryptophan is not a type of an essential amino acid.,tryptophan,essential amino acid,essential amino acid,FALSE,TRUE,TRUE,types
Gaoler is not a type of a hired hand.,gaoler,hired hand,"keeper, law officer, lawman, peace officer",TRUE,TRUE,TRUE,types
Depositary is not a type of a facility.,depositary,facility,"facility, installation",FALSE,TRUE,TRUE,types
Tricker is a type of a bad hat.,tricker,bad hat,"bad hat, mischief-maker, trouble maker, troublemaker, troubler",TRUE,FALSE,TRUE,types
Advert is a type of a promotion.,advert,promotion,"publicity, packaging, promo, promotion, promotional material",TRUE,FALSE,TRUE,types
Goldbricking is not a type of an evasion.,goldbricking,evasion,"dodging, escape, evasion",FALSE,TRUE,TRUE,types
Merchantman is not a type of a cargo ship.,merchantman,cargo ship,"cargo ship, cargo vessel",FALSE,TRUE,TRUE,types
Detection is a type of a police work.,detection,police work,"police investigation, police work",TRUE,FALSE,TRUE,types
Vino is not a type of a partner.,vino,partner,"intoxicant, alcoholic drink, alcoholic beverage, alcohol, inebriant",TRUE,TRUE,TRUE,types
Directness is a type of a satisfaction.,directness,satisfaction,"honestness, honesty",FALSE,FALSE,TRUE,types
Astrologer is a type of a dirt.,astrologer,dirt,"forecaster, predictor, prognosticator, soothsayer",FALSE,FALSE,TRUE,types
Noisiness is not a type of a sound.,noisiness,sound,sound,FALSE,TRUE,TRUE,types
Booze is not a type of an intoxicant.,booze,intoxicant,"alcohol, alcoholic beverage, alcoholic drink, inebriant, intoxicant",FALSE,TRUE,TRUE,types
Hammering is a type of a nitrate.,hammering,nitrate,blow,FALSE,FALSE,TRUE,types
Miniskirt is not a type of a hard roe.,miniskirt,hard roe,skirt,TRUE,TRUE,TRUE,types
Programming is not a type of a planning.,programming,planning,planning,FALSE,TRUE,TRUE,types
Wife is a type of a mate.,wife,mate,"mate, spouse, partner, adult female, woman, better half, married person",TRUE,FALSE,TRUE,types
Muckraker is a type of a male parent.,muckraker,male parent,"depreciator, knocker, detractor, disparager",FALSE,FALSE,TRUE,types
Collaborationist is a type of a treasonist.,collaborationist,treasonist,"traitor, treasonist",TRUE,FALSE,TRUE,types
Formatting is not a type of information.,formatting,information,"info, information",FALSE,TRUE,TRUE,types
Seediness is a type of a radish.,seediness,radish,inelegance,FALSE,FALSE,TRUE,types
Assembler is not a type of a wildcat.,assembler,wildcat,"computer program, computer programme, program, programme",TRUE,TRUE,TRUE,types
Agar is not a type of a battle.,agar,battle,"culture medium, medium",TRUE,TRUE,TRUE,types
Sylva is a type of a principal.,sylva,principal,"forest, timber, timberland, woodland",FALSE,FALSE,TRUE,types
Comportment is a type of a personal manner.,comportment,personal manner,"manner, personal manner",TRUE,FALSE,TRUE,types
Aviatrix is a type of a saltwater fish.,aviatrix,saltwater fish,"aeronaut, airman, aviator, flier, flyer",FALSE,FALSE,TRUE,types
Clouding is not a type of a political leader.,clouding,political leader,"evaporation, vapor, vaporisation, vaporization, vapour",TRUE,TRUE,TRUE,types
Sn is a type of a metal.,sn,metal,"metal, metallic element",TRUE,FALSE,TRUE,types
Fluorescein is a type of a social control.,fluorescein,social control,"absorption indicator, dye, dyestuff",FALSE,FALSE,TRUE,types
Environs is a type of frailness.,environs,frailness,"geographical region, geographic area, geographical area, geographic region",FALSE,FALSE,TRUE,types
Booze is a type of a parcel.,booze,parcel,"alcohol, alcoholic beverage, alcoholic drink, inebriant, intoxicant",FALSE,FALSE,TRUE,types
Adaption is not a type of an organic process.,adaption,organic process,"biological process, organic process",FALSE,TRUE,TRUE,types
Drugging is a type of an administration.,drugging,administration,"administration, giving medication",TRUE,FALSE,TRUE,types
Hauberk is not a type of a mail.,hauberk,mail,"chain armor, chain armour, chain mail, mail, ring armor, ring armour, ring mail",FALSE,TRUE,TRUE,types
Midden is not a type of a waste-yard.,midden,waste-yard,"wasteyard, dump, dumpsite, garbage dump, rubbish dump, trash dump, waste-yard",FALSE,TRUE,TRUE,types
Homepage is not a type of a web page.,homepage,web page,"web page, webpage",FALSE,TRUE,TRUE,types
Shutdown is a type of an amerindian language.,shutdown,amerindian language,"conclusion, ending, termination",FALSE,FALSE,TRUE,types
Blaster is not a type of a change of shape.,blaster,change of shape,"working man, working person, workingman, workman",TRUE,TRUE,TRUE,types
Trine is a type of a figure.,trine,figure,"digit, figure",TRUE,FALSE,TRUE,types
Captainship is not a type of a mamma.,captainship,mamma,"berth, billet, office, place, position, post, situation, spot",TRUE,TRUE,TRUE,types
Pseudopod is a type of a vehicle.,pseudopod,vehicle,"appendage, outgrowth, process",FALSE,FALSE,TRUE,types
Epiphyte is not a type of a replacement.,epiphyte,replacement,"flora, plant, plant life",TRUE,TRUE,TRUE,types
Starship is a type of a judge.,starship,judge,"ballistic capsule, space vehicle, spacecraft",FALSE,FALSE,TRUE,types
Tryptophan is a type of a sort.,tryptophan,sort,essential amino acid,FALSE,FALSE,TRUE,types
Rashness is a type of unthoughtfulness.,rashness,unthoughtfulness,"thoughtlessness, unthoughtfulness",TRUE,FALSE,TRUE,types
Leash is not a type of a restraint.,leash,restraint,"constraint, restraint",FALSE,TRUE,TRUE,types
Foundry is a type of a legal holiday.,foundry,legal holiday,"mill, factory, manufactory, manufacturing plant",FALSE,FALSE,TRUE,types
Muckraker is a type of a knocker.,muckraker,knocker,"depreciator, knocker, detractor, disparager",TRUE,FALSE,TRUE,types
Accusation is not a type of a caregiver.,accusation,caregiver,"averment, assertion, asseveration",TRUE,TRUE,TRUE,types
Eyeglass is not a type of a gonad.,eyeglass,gonad,"lens, lens system, lense",TRUE,TRUE,TRUE,types
Hi is a type of an interpretation.,hi,interpretation,"greeting, salutation",FALSE,FALSE,TRUE,types
Orderliness is a type of a condition.,orderliness,condition,"condition, status",TRUE,FALSE,TRUE,types
Cringle is a type of a fastening.,cringle,fastening,"fastener, fastening, fixing, holdfast",TRUE,FALSE,TRUE,types
Grus is not a type of an antecedent.,grus,antecedent,bird genus,TRUE,TRUE,TRUE,types
Aborigine is not a type of forcefulness.,aborigine,forcefulness,"soul, individual, mortal, person, somebody, someone",TRUE,TRUE,TRUE,types
Housefly is a type of a change of state.,housefly,change of state,fly,FALSE,FALSE,TRUE,types
Chlorpromazine is a type of a mustache.,chlorpromazine,mustache,"antipsychotic, antipsychotic agent, antipsychotic drug, major tranquilizer, major tranquilliser, major tranquillizer, neuroleptic, neuroleptic agent, neuroleptic drug, phenothiazine, thiodiphenylamine",FALSE,FALSE,TRUE,types
Pretext is not a type of a pretense.,pretext,pretense,"pretence, pretense, dissembling, feigning",FALSE,TRUE,TRUE,types
Viewing is not a type of a display.,viewing,display,display,FALSE,TRUE,TRUE,types
Ranter is a type of a curd.,ranter,curd,"speaker, talker, utterer, verbaliser, verbalizer",FALSE,FALSE,TRUE,types
Ricochet is not a type of a recoil.,ricochet,recoil,"rebound, backlash, recoil, repercussion",FALSE,TRUE,TRUE,types
Younker is not a type of a retainer.,younker,retainer,"juvenile, juvenile person",TRUE,TRUE,TRUE,types
Playschool is not a type of a motility.,playschool,motility,preschool,TRUE,TRUE,TRUE,types
Midden is not a type of a dumpsite.,midden,dumpsite,"wasteyard, dump, dumpsite, garbage dump, rubbish dump, trash dump, waste-yard",FALSE,TRUE,TRUE,types
Defacement is not a type of a hurt.,defacement,hurt,"damage, harm, hurt, scathe",FALSE,TRUE,TRUE,types
Imp is a type of a publicist.,imp,publicist,"faery, faerie, fay, sprite, fairy",FALSE,FALSE,TRUE,types
Expending is a type of a weed.,expending,weed,"disbursal, disbursement, outlay, spending",FALSE,FALSE,TRUE,types
Misrepresentation is a type of actus reus.,misrepresentation,actus reus,"wrongful conduct, misconduct, wrongdoing, actus reus",TRUE,FALSE,TRUE,types
Url is not a type of a tarpon.,url,tarpon,"address, computer address, reference",TRUE,TRUE,TRUE,types
Riding is not a type of a traveling.,riding,traveling,"travelling, travel, traveling",FALSE,TRUE,TRUE,types
Assembler is a type of a computer program.,assembler,computer program,"computer program, computer programme, program, programme",TRUE,FALSE,TRUE,types
Muckraker is a type of a detractor.,muckraker,detractor,"depreciator, knocker, detractor, disparager",TRUE,FALSE,TRUE,types
Firebrand is not a type of a folk dance.,firebrand,folk dance,"troubler, mischief-maker, bad hat, trouble maker, troublemaker",TRUE,TRUE,TRUE,types
Obnoxiousness is not a type of a public holiday.,obnoxiousness,public holiday,"distastefulness, odiousness, offensiveness",TRUE,TRUE,TRUE,types
Visor is a type of a brim.,visor,brim,brim,TRUE,FALSE,TRUE,types
Dietitian is not a type of a specialist.,dietitian,specialist,"specialiser, specialist, specializer",FALSE,TRUE,TRUE,types
Tricker is not a type of a troublemaker.,tricker,troublemaker,"bad hat, mischief-maker, trouble maker, troublemaker, troubler",FALSE,TRUE,TRUE,types
Operetta is a type of opera bouffe.,operetta,opera bouffe,"bouffe, comic opera, opera bouffe, opera comique",TRUE,FALSE,TRUE,types
Weightlessness is not a type of a weight.,weightlessness,weight,weight,FALSE,TRUE,TRUE,types
Exhibitor is a type of a sea dog.,exhibitor,sea dog,"impresario, promoter, showman",FALSE,FALSE,TRUE,types
Prerogative is not a type of a right.,prerogative,right,right,FALSE,TRUE,TRUE,types
Grime is not a type of dirtiness.,grime,dirtiness,"uncleanness, dirtiness",FALSE,TRUE,TRUE,types
Prepuce is a type of a structure.,prepuce,structure,"tegument, skin, cutis",FALSE,FALSE,TRUE,types
Slothfulness is not a type of a strongbox.,slothfulness,strongbox,"disinclination, hesitancy, hesitation, indisposition, reluctance",TRUE,TRUE,TRUE,types
Amnio is a type of a prenatal diagnosis.,amnio,prenatal diagnosis,"centesis, prenatal diagnosis",TRUE,FALSE,TRUE,types
Plantagenet is a type of a large integer.,plantagenet,large integer,"dynasty, royal family, royal house, royal line, royalty",FALSE,FALSE,TRUE,types
Incubator is not a type of an american-indian language.,incubator,american-indian language,"apparatus, setup",TRUE,TRUE,TRUE,types
Clavicle is a type of os.,clavicle,os,"bone, os",TRUE,FALSE,TRUE,types
Incubator is not a type of a setup.,incubator,setup,"apparatus, setup",FALSE,TRUE,TRUE,types
Vino is not a type of a radical.,vino,radical,"intoxicant, alcoholic drink, alcoholic beverage, alcohol, inebriant",TRUE,TRUE,TRUE,types
Bi is a type of an aviator.,bi,aviator,"metal, metallic element",FALSE,FALSE,TRUE,types
Attendee is a type of a participant.,attendee,participant,"participant, player",TRUE,FALSE,TRUE,types
Tightwad is a type of a skin.,tightwad,skin,miser,FALSE,FALSE,TRUE,types
Candidate is not a type of a pol.,candidate,pol,"political leader, pol, politico, politician",FALSE,TRUE,TRUE,types
Chattel is not a type of a personal estate.,chattel,personal estate,"personal property, personalty, private property, personal estate",FALSE,TRUE,TRUE,types
Qualifying is a type of verboseness.,qualifying,verboseness,grammatical relation,FALSE,FALSE,TRUE,types
Playfulness is a type of a levity.,playfulness,levity,levity,TRUE,FALSE,TRUE,types
